purity	normFactor	score	diploidProportion	ploidy	somaticPenalty
0.4600	0.9726	0.7629	0.0000	2.1000	0.0000
0.3400	0.8149	0.7652	0.0000	3.3000	0.0000
0.4600	0.9555	0.7657	0.0000	2.1800	0.0000
0.4500	0.9906	0.7664	0.0000	2.0200	0.0000
0.7800	1.6312	0.7665	0.0000	1.0000	0.0000
0.5300	0.5463	0.7674	0.0000	5.1000	0.0000
0.5300	1.3251	0.7690	0.0000	1.0600	0.0000
0.3900	0.5412	0.7695	0.0000	6.3000	0.0000
0.3900	0.5470	0.7696	0.0000	6.2000	0.0000
0.6900	0.5888	0.7711	0.0000	4.0000	0.0000
0.3600	0.5666	0.7714	0.0000	6.2000	0.0000
0.4300	0.9501	0.7715	0.0000	2.2200	0.0000
0.5100	1.3265	0.7716	0.0000	1.0200	0.0000
0.6300	1.3647	0.7719	0.0000	1.1400	0.0000
1.0000	0.2764	0.7721	0.0000	7.2000	0.0000
0.7200	0.5553	0.7726	0.0000	4.2000	0.0000
0.4400	0.9950	0.7730	0.0000	2.0000	0.0000
0.4500	0.9481	0.7733	0.0000	2.2200	0.0000
0.9900	0.2784	0.7737	0.0000	7.2000	0.0000
0.8300	0.5376	0.7752	0.0000	4.0500	0.0000
0.5700	1.3486	0.7755	0.0000	1.0800	0.0000
0.4600	0.9770	0.7755	0.0000	2.0800	0.0000
0.8300	0.5201	0.7771	0.0000	4.2000	0.0000
0.6800	0.5805	0.7775	0.0000	4.1000	0.0000
0.4700	1.2849	0.7803	0.0000	1.0400	0.0000
0.9800	0.2804	0.7804	0.0000	7.2000	0.0000
0.8500	0.5199	0.7814	0.0000	4.1500	0.0000
0.3500	0.8106	0.7815	0.0000	3.3000	0.0000
0.8500	0.5258	0.7821	0.0000	4.1000	0.0000
0.4200	0.9909	0.7829	0.0000	2.0200	0.0000
0.7900	1.6447	0.7830	0.0000	1.0000	0.0000
0.8100	0.5497	0.7833	0.0000	4.0000	0.0000
0.5500	1.3724	0.7850	0.0000	1.0000	0.0000
0.3300	0.8193	0.7850	0.0000	3.3000	0.0000
0.5100	0.5403	0.7858	0.0000	5.3000	0.0000
0.4200	0.9549	0.7863	0.0000	2.2000	0.0000
0.6800	1.4772	0.7866	0.0000	1.0400	0.0000
0.6800	0.5923	0.7870	0.0000	4.0000	0.0000
0.4600	0.9513	0.7875	0.0000	2.2000	0.0000
0.4300	0.9950	0.7880	0.0000	2.0000	0.0000
0.5000	0.5452	0.7888	0.0000	5.3000	0.0000
0.5200	0.5355	0.7890	0.0000	5.3000	0.0000
0.9700	0.2825	0.7894	0.0000	7.2000	0.0000
0.4500	0.9950	0.7904	0.0000	2.0000	0.0000
0.3800	0.5593	0.7909	0.0000	6.1000	0.0000
0.5500	0.5293	0.7916	0.0000	5.2000	0.0000
0.5000	1.3179	0.7932	0.0000	1.0200	0.0000
0.6700	0.5899	0.7936	0.0000	4.0500	0.0000
0.4600	0.5809	0.7938	0.0000	5.1000	0.0000
0.4600	0.9815	0.7941	0.0000	2.0600	0.0000
0.5800	1.3256	0.7944	0.0000	1.1400	0.0000
0.4400	0.9451	0.7944	0.0000	2.2400	0.0000
0.5300	0.5308	0.7950	0.0000	5.3000	0.0000
0.2800	0.7487	0.7951	0.0000	4.3500	0.0000
0.4900	0.5502	0.7958	0.0000	5.3000	0.0000
0.8400	0.5172	0.7961	0.0000	4.2000	0.0000
0.3500	0.8344	0.7972	0.0000	3.1000	0.0000
0.6900	0.5713	0.7977	0.0000	4.1500	0.0000
0.3100	0.5463	0.7984	0.0000	7.3000	0.0000
0.6000	1.3302	0.7989	0.0000	1.1600	0.0000
0.6500	1.3936	0.7997	0.0000	1.1200	0.0000
0.3000	0.5590	0.7999	0.0000	7.2000	0.0000
0.8000	1.6584	0.8003	0.0000	1.0000	0.0000
0.6400	1.3728	0.8004	0.0000	1.1400	0.0000
0.8400	0.5347	0.8005	0.0000	4.0500	0.0000
0.9600	0.2846	0.8014	0.0000	7.2000	0.0000
0.4000	0.5350	0.8029	0.0000	6.3000	0.0000
0.7100	0.5587	0.8043	0.0000	4.2000	0.0000
0.3700	0.5658	0.8044	0.0000	6.1000	0.0000
0.3300	0.8422	0.8055	0.0000	3.1000	0.0000
0.4600	1.2770	0.8063	0.0000	1.0400	0.0000
0.2900	0.7462	0.8064	0.0000	4.3000	0.0000
0.2800	0.7648	0.8066	0.0000	4.1500	0.0000
0.3900	0.5529	0.8070	0.0000	6.1000	0.0000
0.6500	1.4064	0.8077	0.0000	1.1000	0.0000
0.6700	0.5958	0.8079	0.0000	4.0000	0.0000
0.8200	0.5467	0.8089	0.0000	4.0000	0.0000
0.3600	0.5609	0.8108	0.0000	6.3000	0.0000
0.5400	1.3630	0.8113	0.0000	1.0000	0.0000
0.5700	1.3383	0.8115	0.0000	1.1000	0.0000
0.4800	0.5553	0.8127	0.0000	5.3000	0.0000
0.4500	0.9995	0.8138	0.0000	1.9800	0.0000
0.9500	0.2867	0.8139	0.0000	7.2000	0.0000
0.3000	0.5497	0.8141	0.0000	7.4000	0.0000
0.4200	0.9511	0.8142	0.0000	2.2200	0.0000
0.6100	1.3377	0.8143	0.0000	1.1600	0.0000
0.5900	1.3228	0.8149	0.0000	1.1600	0.0000
0.8600	0.5170	0.8149	0.0000	4.1500	0.0000
0.4900	1.3094	0.8151	0.0000	1.0200	0.0000
0.9500	0.2907	0.8152	0.0000	7.1000	0.0000
0.2900	0.5626	0.8153	0.0000	7.3000	0.0000
1.0000	0.2803	0.8154	0.0000	7.1000	0.0000
0.9600	0.2886	0.8154	0.0000	7.1000	0.0000
0.8100	1.6723	0.8156	0.0000	1.0000	0.0000
0.9900	0.2823	0.8156	0.0000	7.1000	0.0000
0.9700	0.2865	0.8156	0.0000	7.1000	0.0000
0.9800	0.2844	0.8156	0.0000	7.1000	0.0000
0.2900	0.5673	0.8162	0.0000	7.2000	0.0000
0.4100	0.9790	0.8163	0.0000	2.0800	0.0000
0.3600	0.5725	0.8173	0.0000	6.1000	0.0000
0.9400	0.2929	0.8175	0.0000	7.1000	0.0000
0.4100	0.9829	0.8176	0.0000	2.0600	0.0000
0.4300	0.9462	0.8181	0.0000	2.2400	0.0000
0.6900	1.4878	0.8187	0.0000	1.0400	0.0000
0.4600	0.9859	0.8195	0.0000	2.0400	0.0000
0.4200	0.9950	0.8196	0.0000	2.0000	0.0000
0.4400	0.9994	0.8198	0.0000	1.9800	0.0000
0.8500	0.5142	0.8199	0.0000	4.2000	0.0000
0.5400	0.5262	0.8201	0.0000	5.3000	0.0000
0.4100	0.9750	0.8207	0.0000	2.1000	0.0000
0.9300	0.2951	0.8226	0.0000	7.1000	0.0000
0.2400	0.7067	0.8228	0.0000	5.4000	0.0000
0.4000	0.5408	0.8231	0.0000	6.2000	0.0000
0.5400	0.5417	0.8237	0.0000	5.1000	0.0000
0.4500	0.9440	0.8239	0.0000	2.2400	0.0000
0.4600	0.9471	0.8252	0.0000	2.2200	0.0000
0.8600	0.5229	0.8253	0.0000	4.1000	0.0000
0.2400	0.7128	0.8253	0.0000	5.3000	0.0000
0.2900	0.7421	0.8255	0.0000	4.3500	0.0000
0.8500	0.5317	0.8258	0.0000	4.0500	0.0000
0.6700	0.5841	0.8258	0.0000	4.1000	0.0000
0.5300	1.3345	0.8266	0.0000	1.0400	0.0000
0.9400	0.2889	0.8269	0.0000	7.2000	0.0000
0.4100	0.9711	0.8274	0.0000	2.1200	0.0000
0.2900	0.7502	0.8286	0.0000	4.2500	0.0000
0.8200	1.6865	0.8288	0.0000	1.0000	0.0000
0.4600	0.5732	0.8313	0.0000	5.2000	0.0000
0.4500	1.2692	0.8314	0.0000	1.0400	0.0000
0.7700	0.5683	0.8318	0.0000	3.9500	0.0000
0.5200	1.3169	0.8318	0.0000	1.0600	0.0000
0.7600	0.5715	0.8325	0.0000	3.9500	0.0000
0.9200	0.2974	0.8329	0.0000	7.1000	0.0000
0.8300	0.5437	0.8339	0.0000	4.0000	0.0000
0.4800	0.5785	0.8340	0.0000	5.0000	0.0000
0.6600	0.5935	0.8341	0.0000	4.0500	0.0000
0.3100	0.5417	0.8343	0.0000	7.4000	0.0000
0.7500	0.5747	0.8356	0.0000	3.9500	0.0000
0.5800	1.3155	0.8358	0.0000	1.1600	0.0000
0.5300	1.3538	0.8358	0.0000	1.0000	0.0000
0.4300	0.9993	0.8358	0.0000	1.9800	0.0000
0.4800	1.3010	0.8359	0.0000	1.0200	0.0000
0.4100	0.9869	0.8362	0.0000	2.0400	0.0000
0.7800	0.5652	0.8364	0.0000	3.9500	0.0000
0.4900	0.5735	0.8370	0.0000	5.0000	0.0000
0.2900	0.7544	0.8373	0.0000	4.2000	0.0000
0.3600	0.8183	0.8381	0.0000	3.2000	0.0000
0.7400	0.5780	0.8383	0.0000	3.9500	0.0000
0.6500	1.3810	0.8385	0.0000	1.1400	0.0000
0.7000	0.5622	0.8394	0.0000	4.2000	0.0000
0.9300	0.2911	0.8399	0.0000	7.2000	0.0000
0.8300	1.7009	0.8402	0.0000	1.0000	0.0000
0.7300	0.5813	0.8408	0.0000	3.9500	0.0000
0.7900	0.5621	0.8411	0.0000	3.9500	0.0000
0.3600	0.8123	0.8413	0.0000	3.2500	0.0000
0.3400	0.8443	0.8414	0.0000	3.0500	0.0000
0.6200	1.3453	0.8415	0.0000	1.1600	0.0000
0.3400	0.8093	0.8416	0.0000	3.3500	0.0000
0.6800	0.5748	0.8422	0.0000	4.1500	0.0000
0.2900	0.5581	0.8428	0.0000	7.4000	0.0000
0.9100	0.2997	0.8433	0.0000	7.1000	0.0000
0.6600	0.5994	0.8434	0.0000	4.0000	0.0000
0.4600	0.9905	0.8441	0.0000	2.0200	0.0000
0.5000	0.5686	0.8442	0.0000	5.0000	0.0000
0.2800	0.7448	0.8443	0.0000	4.4000	0.0000
0.5700	1.3281	0.8444	0.0000	1.1200	0.0000
0.3500	0.5735	0.8451	0.0000	6.2000	0.0000
0.8000	0.5590	0.8452	0.0000	3.9500	0.0000
0.7200	0.5846	0.8459	0.0000	3.9500	0.0000
0.2700	0.7593	0.8467	0.0000	4.3000	0.0000
0.4100	0.9673	0.8469	0.0000	2.1400	0.0000
0.3100	0.5509	0.8469	0.0000	7.2000	0.0000
